month,waterconsumption
January,0
February,0
March,0
April,1493.6926617636682
May,230007.43054086418
June,176414.83345733688
July,278457.28390287474
August,453190.31211941794
September,507768.49442192237
October,494005.7578410052
November,157424.19327781306
December,0
