week,waterconsumption
31(1st week of August),81366.63622137567
32(2nd week of August),89876.43252077601
33(3rd week of August),75719.31606229275
34(4th week of August),78980.6100237037
35(1st week of September),85500.90472074074
36(2nd week of September),64920.61015326278
37(3rd week of September),81080.69827569665
38(4th week of September),78421.69563940035

