week,waterconsumption
31(1st week of August),300644.50096472667
32(2nd week of August),299409.04939597886
33(3rd week of August),312012.9064356261
34(4th week of August),272075.5919294533
35(1st week of September),284722.4936507937
36(2nd week of September),191733.86285185185
37(3rd week of September),344859.74541798944
38(4th week of September),369767.3431922398

